country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Italy,,,40.2M,42.4M,42.4M,44.6M,43.6M,44.7M,46.4M,40.4M,43.4M,46.4M,49.2M,54.4M,54.8M,55.3M,52.6M,53.3M,52.6M,55.2M,57.4M,57.5M,60M,61.2M,62.2M
Jordan,1.13M,1.14M,1.23M,1.35M,1.56M,1.63M,1.75M,1.28M,1.23M,1.42M,1.52M,2.14M,2.09M,1.97M,2.05M,2.71M,1.93M,1.57M,1.5M,1.23M,,1.51M,1.59M,1.5M,1.54M
Japan,15.3M,16.7M,16.8M,15.8M,16.4M,17.8M,16.2M,16.5M,13.3M,16.8M,17.4M,17.5M,17.3M,16M,15.4M,16.6M,17M,18.5M,17.5M,16.9M,16.2M,17.1M,17.9M,19M,20.1M
Kazakhstan,,,,,,,,,,,,3.69M,4.54M,4.33M,5.42M,6.02M,8.02M,9.07M,10.1M,10.4M,11.3M,9.76M,10.3M,10.6M,10.7M
Kyrgyz Republic,,,,,,,,,,,,,,2.27M,2.35M,1.34M,3.06M,3.62M,3.99M,3.79M,4.01M,4.18M,4.45M,6.84M,5.31M
Cambodia,31k,38k,45k,41k,49k,41k,37k,45k,60k,239k,568k,787k,996k,786k,340k,505k,710k,792k,872k,956k,1.19M,1.43M,1.75M,2M,2.04M
South Korea,3.82M,4.65M,4.54M,3.07M,4.34M,5.51M,6.08M,7.12M,7.09M,8.83M,10.1M,11.6M,13.3M,12M,9.49M,12.5M,12.7M,13.7M,14.8M,16.1M,19.3M,22.4M,26.5M,28.7M,28.7M
Kuwait,878k,1.05M,1.1M,1.26M,1.21M,1.24M,1.67M,1.73M,1.77M,1.93M,2.17M,2.53M,2.65M,,,,,,,,,,,,
Lao,,,,,,,,,,,,,,,,1.69M,1.79M,2.05M,2.86M,3.32M,3.07M,3.06M,3.05M,3.21M,2.69M
Libya,484k,493k,650k,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,504k,494k,531k,518k,497k,524k,505k,533k,561k,680k,727k,757k,862k,966k,963k,1.12M,1.24M,1.27M,1.26M,1.31M,1.36M,1.45M,1.44M,1.48M,1.44M
Lithuania,,,,,,,,,,,,4.36M,3.63M,3.85M,3.64M,4.31M,4.02M,4.11M,4.23M,4.29M,3.98M,4.14M,4.29M,4.7M,4.88M
Luxembourg,,,694k,757k,809k,950k,923k,1.05M,1.02M,1.1M,1.19M,1.08M,1.13M,1.19M,1.36M,1.24M,1.64M,1.58M,1.62M,1.81M,1.7M,1.59M,1.8M,1.99M,2.55M
Latvia,1.81M,1.8M,1.88M,1.96M,2.26M,2.6M,2.7M,2.31M,2.29M,2.46M,2.96M,3.15M,3.4M,3.78M,3.27M,3.33M,3.26M,1.83M,1.78M,1.85M,1.72M,1.94M,2.06M,2.17M,2.38M
"Macao China",,,,,,,,,,,629k,645k,599k,606k,671k,753k,908k,1.29M,1.45M,1.54M,1.47M,1.25M,1.39M,1.78M,1.76M
Morocco,1.32M,1.21M,1.2M,1.27M,1.54M,1.51M,1.7M,1.53M,1.61M,1.6M,2.25M,2.13M,2.67M,3.42M,2.29M,2.17M,2.38M,2.32M,2.19M,1.85M,1.91M,1.86M,1.85M,1.92M,2.01M
Moldova,,,,,,,,,,,,,,,93.3k,117k,136k,147k,158k,181k,190k,177k,229k,264k,311k
Madagascar,39k,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,32k,32k,33k,37k,42k,42k,41k,43k,44k,61k,77k,74k,102k,123k,,,,,,,,,,,
Mexico,103M,103M,107M,108M,117M,127M,124M,125M,123M,129M,128M,122M,110M,108M,98.2M,91.7M,88.1M,87.3M,90.8M,91M,95M,97.4M,94.3M,86.3M,82.8M
Malta,,,,,,,,,,,,,,292k,292k,328k,348k,368k,404k,430k,456k,550k,633k,728k,774k
Mauritius,107k,120k,132k,143k,154k,163k,161k,162k,161k,180k,183k,186k,213k,226k,196k,212k,219k,237k,228k,223k,242k,260k,283k,296k,320k
Malaysia,20.6M,23.3M,26.2M,25.6M,26.1M,30.5M,36.2M,29.9M,32.2M,30.8M,,,,,,,,,,,,,,,
New Caledonia,59k,64k,63k,68k,69k,69k,68k,72k,78k,89k,96k,100k,106k,112k,119k,132k,124k,121k,121k,124k,127k,134k,135k,139k,
Niger,10k,10k,10k,10k,,,,,,,,,,,,,,,,,,,,,
Nicaragua,255k,282k,330k,422k,452k,486k,499k,532k,562k,701k,740k,773k,949k,942k,858k,908k,912k,979k,994k,959k,925k,981k,982k,974k,949k
Netherlands,12.3M,12.8M,12.9M,13.6M,14.2M,13.9M,14.2M,16.7M,16.4M,17.1M,17M,16.7M,17.5M,18.4M,18.3M,18.4M,18.6M,18.6M,18.1M,17.9M,17.5M,18.2M,20.8M,20.9M,
Norway,590k,692k,753k,,2.27M,2.39M,2.35M,2.63M,2.59M,2.96M,3.17M,3.24M,3.4M,,6.64M,7.59M,8.13M,9.25M,9.28M,9.19M,8.75M,8.03M,8.17M,8.11M,8.89M
Nepal,100k,119k,132k,122k,125k,155k,200k,238k,258k,286k,373k,415k,469k,561k,589k,765k,774k,862k,983k,,,,1.2M,,
New Zealand,920k,1.09M,1.13M,1.17M,1.19M,1.28M,1.29M,1.29M,1.37M,1.73M,1.87M,1.86M,1.98M,1.97M,1.92M,2.03M,2.1M,2.17M,2.2M,2.28M,2.41M,2.61M,2.85M,3.04M,3.23M
Oman,,,,,,,,,,,2.5M,2.66M,2.94M,3.1M,2.47M,2.83M,3.34M,3.97M,4.3M,4.73M,5.42M,5.9M,6.37M,5.97M,6.63M
Panama,185k,188k,194k,211k,221k,216k,200k,200k,227k,256k,285k,284k,314k,369k,336k,392k,414k,447k,619k,853k,965k,1.05M,869k,1.02M,1.22M
Peru,508k,510k,577k,538k,513k,730k,1.06M,1.23M,1.43M,1.64M,1.84M,1.86M,1.92M,1.91M,1.89M,2.06M,2.13M,2.3M,2.36M,2.44M,2.6M,2.75M,2.88M,3.08M,3.27M
Philippines,1.61M,2.12M,1.93M,1.82M,1.75M,1.67M,1.79M,1.97M,1.8M,1.92M,2.14M,2.75M,3.07M,3.35M,3.19M,,,,,3.49M,5.12M,5.7M,,,
Palau,,,,9000,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,51k,,64k,65k,58k,52k,38k,92k,,,,,,,,,,,,,,,,,
Poland,36.4M,44.7M,48.6M,49.3M,55.1M,56.7M,53.1M,45M,38.7M,37.2M,40.8M,44.7M,47.6M,50.2M,39.3M,42.8M,43.3M,48.3M,52.6M,35.4M,44.3M,44.5M,46.7M,48.6M,50.6M
Puerto Rico,1.24M,1.18M,1.25M,1.25M,1.13M,1.26M,1.33M,1.23M,1.27M,1.36M,1.41M,1.47M,1.44M,1.44M,1.12M,980k,924k,876k,839k,793k,746k,789k,792k,,
